#{"t_start": 1774878733.6333108, "env_id": "None"}
r,l,t
1397.475057,50,0.0
7723.004445,50,0.02017
-5516.356448,50,0.02418
4174.339801,50,0.02418
5756.995682,50,0.031249
4181.065327,50,0.031249
7663.905193,50,0.031249
44.129657,50,0.047101
9291.362564,50,0.056682
4098.917455,50,0.056682
6825.602797,50,0.066826
-2906.074714,50,0.070832
-1122.012448,50,0.076842
606.250038,50,0.082595
8591.535661,50,0.086604
-4557.235292,50,0.092617
2114.662549,50,0.096366
1854.606798,50,0.102378
6090.97634,50,0.108391
-5880.447709,50,0.11214
5761.900135,50,0.125918
1159.655244,50,0.167907
-1466.334522,50,0.195762
6626.975051,50,0.221066
7358.787534,50,0.236987
3765.532464,50,0.280512
4560.562547,50,0.309762
3821.662567,50,0.339276
5840.437562,50,0.368814
3978.227262,50,0.394329
4566.100053,50,0.425863
1910.812561,50,0.457186
5230.687562,50,0.490737
7910.625053,50,0.520236
91.98755,50,0.55197
7220.52292,50,0.585299
7424.500053,50,0.615554
9345.337539,50,0.653155
4701.900029,50,0.688455
7154.200055,50,0.72226
3717.475044,50,0.757518
7960.036006,50,0.773488
801.687558,50,0.820719
12302.262548,50,0.850458
4208.276816,50,0.884236
1636.81599,50,0.921818
2570.737522,50,0.957923
6350.500032,50,0.979134
5437.350067,50,1.026777
4096.462553,50,1.05807
7783.250058,50,1.08953
2076.998261,50,1.133129
3873.087548,50,1.168167
12169.487549,50,1.199807
5917.812558,50,1.255101
5436.27506,50,1.296682
8717.387561,50,1.32627
3699.412556,50,1.374113
6936.387557,50,1.419825
6516.312552,50,1.457129
8172.916102,50,1.484971
5353.650057,50,1.53325
3446.462553,50,1.568317
8661.57506,50,1.596203
7066.13756,50,1.651332
6460.277803,50,1.67661
4894.15006,50,1.718419
7948.850062,50,1.751952
10976.925057,50,1.785874
9916.67749,50,1.817647
8106.137554,50,1.85312
8848.437546,50,1.880343
9542.735207,50,1.920446
5891.162553,50,1.957805
11604.837549,50,1.990985
3513.255034,50,2.022577
4960.550034,50,2.062952
8151.087571,50,2.085722
10962.637531,50,2.133065
-1461.487469,50,2.164495
4499.087559,50,2.208625
1378.800049,50,2.243159
6710.57503,50,2.27843
6412.512547,50,2.312066
9644.862563,50,2.353359
5458.969773,50,2.387292
5243.635778,50,2.424818
8879.800057,50,2.456338
3943.025055,50,2.490121
4872.46254,50,2.529477
11135.425054,50,2.567268
5094.175018,50,2.606489
11895.825056,50,2.638073
7898.312553,50,2.669449
6953.27506,50,2.722873
9643.225059,50,2.754394
9779.237555,50,2.790408
5878.725067,50,2.828001
9514.987562,50,2.863744
8856.50003,50,2.899902
5045.575081,50,2.936437
7881.425066,50,2.9697
4609.775025,50,3.005596
9889.18826,50,3.041018
9238.390907,50,3.078517
10814.062552,50,3.116862
8232.250057,50,3.156307
11152.462549,50,3.19127
2439.200042,50,3.222904
8074.937582,50,3.270236
6831.725026,50,3.30276
7498.950051,50,3.333278
9439.700059,50,3.388458
10233.550051,50,3.430024
10254.275057,50,3.466797
10603.469776,50,3.490568
7692.662559,50,3.541781
5573.812553,50,3.569299
9303.772919,50,3.618083
6019.712559,50,3.656506
8998.525043,50,3.696104
5706.962534,50,3.735741
10132.725049,50,3.773353
8437.337555,50,3.818757
4663.137558,50,3.858118
6662.387552,50,3.885454
9291.575026,50,3.934887
8350.4158,50,3.964604
8880.86255,50,4.012465
8651.850046,50,4.049742
13432.662554,50,4.09178
4377.662523,50,4.123788
8131.465124,50,4.173764
9210.150058,50,4.211364
9571.900058,50,4.24872
12280.63757,50,4.286095
13234.836357,50,4.331462
6445.17506,50,4.374586
3576.768986,50,4.412746
11339.42504,50,4.45028
