#{"t_start": 1774881897.723424, "env_id": "None"}
r,l,t
935.270155,50,0.031853
3407.362552,50,0.047936
13034.78755,50,0.144219
923.337518,50,0.169468
5256.03757,50,0.192979
-227.392099,50,0.266599
2276.300059,50,0.282571
2699.362547,50,0.364037
5619.881587,50,0.400859
6116.428707,50,0.427225
6157.212548,50,0.504189
6296.875035,50,0.538954
9368.487532,50,0.624362
6216.250063,50,0.646019
5780.475051,50,0.687607
8439.183374,50,0.770435
6377.452683,50,0.803602
-1662.724941,50,0.899426
3520.528697,50,0.930609
11534.000044,50,0.962062
8459.924248,50,1.072692
-475.456188,50,1.104309
-1950.61244,50,1.147872
3821.200054,50,1.246896
8388.612556,50,1.282459
4499.775021,50,1.372781
11994.225044,50,1.404305
3397.869029,50,1.436015
3947.737558,50,1.515672
7588.352806,50,1.547594
-9686.954502,50,1.642503
7643.787548,50,1.674347
8882.770101,50,1.702622
8180.532655,50,1.784965
3681.316032,50,1.816785
3994.67757,50,1.917968
2138.26832,50,1.943495
2949.232956,50,1.974973
-3723.798569,50,2.065462
9443.462557,50,2.096988
7064.25005,50,2.179998
6964.687551,50,2.215285
10070.92963,50,2.24454
-716.687462,50,2.321029
8911.162548,50,2.352919
2985.28756,50,2.398209
-786.472516,50,2.47893
4275.150045,50,2.510927
11024.175045,50,2.60612
3157.29746,50,2.650537
6264.287558,50,2.68545
7676.945982,50,2.781153
4541.88756,50,2.836913
9731.962552,50,2.929518
2302.912523,50,2.971007
8095.075052,50,3.007622
-489.112445,50,3.103457
-3095.237443,50,3.130077
8844.837548,50,3.229777
11698.487536,50,3.263367
4947.187548,50,3.294886
6671.750021,50,3.367929
488.90007,50,3.413689
6815.825031,50,3.431317
2913.187551,50,3.535337
5174.600054,50,3.564858
7882.950047,50,3.656914
5081.400059,50,3.692231
4810.475054,50,3.71419
2134.243344,50,3.824645
8293.80005,50,3.857426
1512.825052,50,3.952041
1010.307369,50,3.987576
6232.012561,50,4.013358
8021.962533,50,4.114052
5514.150043,50,4.145484
449.175051,50,4.236961
6060.737555,50,4.270219
4738.03753,50,4.299738
11818.087554,50,4.393059
2522.512559,50,4.422076
11093.412531,50,4.518764
3221.062554,50,4.55055
